Feature	Gain	Cover	Frequency
Visa_mlimitecompra	0.00512202402753837	0.00658005214345378	0.00845030937744048
Visa_status	0.0050333706433492	0.00777540342131235	0.00210256512945794
Master_mpagospesos	0.00502051546974446	0.00892105879136655	0.00748913674683113
thomebanking	0.00454290052180095	0.00195030168395776	0.0030036644706542
Master_mlimitecompra	0.00453889287670446	0.00659618605052059	0.00798974749194017
ccajas_transacciones	0.00420722716531011	0.0053262319380779	0.00298364004084984
Master_msaldopesos	0.00411514292398125	0.0066867051286416	0.00604737780091712
cprestamos_personales	0.00410223756165885	0.00883577864924131	0.004765814293438
Master_msaldototal	0.00398903641787022	0.0115932957200961	0.00678828170367849
mtarjeta_master_consumo	0.00398199261910936	0.00536424371048605	0.00334407977732834
tmobile_app	0.00369792825198744	0.0105392670460269	0.00214261398906666
Master_status	0.00363574872258342	0.0070005051713193	0.00158192995454454
ctransferencias_emitidas	0.0036032321974399	0.00890795394573815	0.00796972306213581
Master_mpagominimo	0.00352672499573293	0.00684032304128559	0.00564688920482989
ccomisiones_mantenimiento	0.00347438491038041	0.00732670989073363	0.0032639820581109
Master_mconsumospesos	0.00343666380094567	0.00311910444457209	0.00458559442519874
mextraccion_autoservicio	0.00331417484814509	0.00792474740868431	0.00652796411622179
cmobile_app_trx	0.00320074718653687	0.00279178781835719	0.00402491039067663
ctarjeta_debito	0.00304678069498552	0.00465170123675871	0.00472576543382927
ccuenta_debitos_automaticos	0.00292469049778761	0.00579909791505219	0.00748913674683113
Visa_mconsumosdolares	0.00288471533819496	0.0057754765970033	0.00482588758285108
ccaja_ahorro	0.00284952119243885	0.00326881728048735	0.00214261398906666
Visa_mconsumototal	0.00284409870515346	0.00247887880224773	0.00496605859148161
ctarjeta_visa_debitos_automaticos	0.00279986011653173	0.00370976177495443	0.00496605859148161
tcallcenter	0.00244380495424366	0.00152857591417104	0.0011413924988486
internet	0.00224307421055953	0.00841688786651412	0.00222271170828411
ccallcenter_transacciones	0.00222148051829378	0.00497503880208939	0.00206251626984922
cextraccion_autoservicio	0.00206401263333632	0.00700302706601068	0.00462564328480747
ccajas_consultas	0.00202422325778788	0.00788399715028902	0.00264322473417569
Master_fultimo_cierre	0.00201223652423957	0.00403966784661137	0.00334407977732834
ccaja_seguridad	0.00201022277331203	0.00543274231612543	0.00128156350747912
matm	0.00200224912806775	0.00634025233977492	0.00466569214441619
cpagomiscuentas	0.00187219760057448	0.00279339509732928	0.00416508139930715
Visa_fultimo_cierre	0.0017880508009277	0.00357540654859044	0.00312381104948037
ccajas_otras	0.00168479070969111	0.00618287946318143	0.00130158793728349
catm_trx	0.00160530420255612	0.00365473150231605	0.00270329802358878
mttarjeta_master_debitos_automaticos	0.00153613625096128	0.0117225514009022	0.00268327359378442
Visa_mpagado	0.00147865493498152	0.00709694941528408	0.00322393319850217
mplazo_fijo_dolares	0.0014390091143266	0.0134546791715001	0.00218266284867538
matm_other	0.00113823853590665	0.00539496107405685	0.00220268727847975
Master_cconsumos	0.00103644854607405	0.00120215460346094	0.0017621498227838
ctarjeta_master_transacciones	0.00100924375022583	0.00292502470451578	0.00188229640160996
cseguro_accidentes_personales	0.00090756810045238	0.00171283506176207	0.00134163679689221
cseguro_auto	0.000731248845359674	0.00764298786650307	0.000901099341196259
Visa_mpagosdolares	0.000672030203964267	0.000968157730934172	0.00116141692865296
Visa_delinquency	0.000634529714832877	0.00570990411832512	0.00100122149021807
Visa_msaldodolares	0.000556853452845857	0.00329249221024312	0.00140171008630529
mprestamos_prendarios	0.000531733895151067	0.00565181583392662	0.000660806183543924
catm_trx_other	0.000521002343757313	0.00311121065685189	0.00106129477963115
Master_delinquency	0.000494733417052305	0.0035739354433538	0.000580708464326478
Master_mpagado	0.000451121623166681	0.00126120468188077	0.000700855043152646
ccheques_emitidos	0.000415276197605296	0.00224116449396629	0.000260317587456697
Master_mconsumototal	0.000397494511704369	0.000730708264484688	0.000901099341196259
mforex_sell	0.00038779050592169	0.00354520064070322	0.000700855043152646
mcaja_ahorro_adicional	0.000381263827801224	0.00525341866226926	0.00108131920943551
ctarjeta_visa	0.000375035575578187	0.000459950916788227	0.000620757323935201
cseguro_vivienda	0.000369121303204139	0.000527707536404469	0.000500610745109033
minversion2	0.00035191964715313	0.00417725478666576	0.000700855043152646
Master_mpagosdolares	0.000348995978772071	0.000113393048976075	0.000240293157652336
cplazo_fijo	0.00034786787895085	0.00132065899257043	0.00030036644706542
ctarjeta_master	0.000343456757025999	0.000225958333198008	0.00046056188550031
Master_mconsumosdolares	0.000288929485347149	0.000179503789191272	0.000480586315304672
active_quarter	0.000288918439335105	0.00216912966014146	0.000640781753739562
mcheques_depositados	0.000275544304925345	0.0031173288248404	0.000440537455695949
mtarjeta_visa_descuentos	0.000243999959644535	0.00313041115355191	0.00060073289413084
ccajas_depositos	0.000223026943425331	0.00240958030994178	0.000580708464326478
minversion1_pesos	0.000161868422156033	0.00334618326244377	0.000420513025891588
mcheques_emitidos	0.000134378159721383	0.000689765003944648	8.00977192174453e-05
ccajas_extracciones	0.000127441586243465	0.00375387027066834	0.000780952762370092
ctarjeta_master_debitos_automaticos	0.000119693200985193	0.00046942732209536	0.000200244298043613
cseguro_vida	0.000112932684861685	0.000235330731793805	0.000200244298043613
Master_msaldodolares	0.00010687076807492	0.000115759469717515	0.000160195438434891
cinversion2	3.91850440267511e-05	0.000335877343568617	8.00977192174453e-05
mtarjeta_master_descuentos	3.37327028187618e-05	0.000337215491772204	0.000120146578826168
cforex	3.23969129082959e-05	0.00119015308676002	0.000200244298043613
ccheques_depositados	3.21666282686065e-05	0.00042841114963397	6.0073289413084e-05
Visa_madelantopesos	1.49325718731777e-05	3.36895965999232e-06	2.00244298043613e-05
cforex_sell	1.4900967693272e-05	1.2270647469431e-05	2.00244298043613e-05
cinversion1	1.35443582056579e-05	0.000916593991262298	0.000120146578826168
ctarjeta_master_descuentos	1.25825266370927e-05	3.13510539460584e-05	4.00488596087226e-05
mcajeros_propios_descuentos	9.58068169894058e-06	0.000312247447646622	0.000180219868239252
ctarjeta_visa_descuentos	7.89460007301499e-06	1.09657385241061e-05	2.00244298043613e-05
ccajeros_propios_descuentos	2.6309815451967e-06	7.99361271839872e-05	6.0073289413084e-05
Master_madelantopesos	6.89724158192986e-14	4.11094568313513e-06	2.00244298043613e-05
